	 dpk16ahr202527_04216	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202546_04118	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202546_04118	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202550_03823	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202550_03823	Resting	run_01	uprun_01.nii	Good	Fri Oct 12 10:53:23 EDT 2018	chriswag
	 dpk16ahr202675_03946	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202675_03946	Resting	run_01	uprun_01.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202696_04971	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202696_04971	Resting	run_01	uprun_01.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202708_05038	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202708_05038	Resting	run_01	uprun_01.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202726_04368	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202726_04368	Resting	run_01	uprun_01.nii	Bad	Tue Oct 16 17:35:21 EDT 2018	chriswag	Looks like head might be tilted a little
	 dpk16ahr202728_03835	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202728_03835	Resting	run_01	uprun_01.nii	Bad	Tue Oct 16 17:35:21 EDT 2018	chriswag	I meant to hit no
	 dpk16ahr202735_03707	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202735_03707	Resting	run_01	uprun_01.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202779_04890	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202779_04890	Resting	run_01	uprun_01.nii	Bad	Tue Oct 16 17:35:21 EDT 2018	chriswag	Head is slightly tilted
	 dpk16ahr202785_04298	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202785_04298	Resting	run_01	uprun_01.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202793_04055	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202793_04055	Resting	run_01	uprun_01.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202876_04233	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202876_04233	Resting	run_01	uprun_01.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202906_04287	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202906_04287	Resting	run_01	uprun_01.nii	Good	Tue Oct 16 17:35:21 EDT 2018	chriswag
	 dpk16ahr202931_04414	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr202931_04414	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr202950_04496	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr202950_04496	Resting	run_01	uprun_01.nii	Bad	Fri Oct 19 10:43:15 EDT 2018	chriswag	Head looks a little tilted. Not sure if I should be noting this
	 dpk16ahr202953_04757	 Anatomy	t1spgr_208sl	ht1spgr_208sl.nii\Bad	Fri Oct 19 10:43:15 EDT 2018	chriswag	X150 Y203 Z68 Brain has very sunken in sulci but it may be that the participants brain just looks that way
	 dpk16ahr202953_04757	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203009_03958	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203009_03958	Resting	run_01	uprun_01.nii	Bad	Fri Oct 19 10:43:15 EDT 2018	chriswag	Head is a little tilted
	 dpk16ahr203015_04732	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203015_04732	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203099_05006	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203099_05006	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203113_04991	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203113_04991	Resting	run_01	uprun_01.nii	Bad	Fri Oct 19 10:43:15 EDT 2018	chriswag	There is a little bit of frontal lobe blow out
	 dpk16ahr203118_03986	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203118_03986	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203136_03671	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203136_03671	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203202_04596	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203202_04596	Resting	run_01	uprun_01.nii	Bad	Fri Oct 19 10:43:15 EDT 2018	chriswag	Head is tilted
	 dpk16ahr203338_04385	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203338_04385	Resting	run_01	uprun_01.nii	Bad	Fri Oct 19 10:43:15 EDT 2018	chriswag	Head is very tilted
	 dpk16ahr203343_04090	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
