ROI	X	Y	Z
NS_Right_VS	38	67	32
NS_Left_VS	51	67	32
NS_vmPFC	46	83	32
NS_vmPFC_vc	44	76	28
NS_mPFC	44	90	45
NS_Left_Amygdala	56	61	27
NS_Right_Amydala	32	61	27
NS_ACC	44	77	46
NS_Left_OFC	56	80	29
NS_Right_OFC	29	79	29
NS_Right_dlPFC	24	81	50
NS_Left_dlPFC	66	80	50
NS_Right_Insula	26	69	34
NS_Left_Insula	64	69	32
NS_Right_PPC	36	31	63
NS_Left_PPC	56	31	65
NS_VisualCortex	39	19	35
OutsiBrain	40	88	72
