NS_Right_VS,15,8,-9
NS_Left_VS,-12,8,-8
NS_vmPFC,-2,40,-8
NS_vmPFC_vc,3,27,-17
NS_mPFC,3,55,19
NS_Left_Amygdala,-22,-5,-19
NS_Right_Amydala,26,-4,-18
NS_ACC,3,29,21
NS_Left_OFC,-22,34,-14
NS_Right_OFC,32,33,-14
NS_Right_dlPFC,43,37,29
NS_Left_dlPFC,-42,34,28
NS_Right_Insula,38,13,-4
NS_Left_Insula,-38,12,-9
NS_Right_PPC,19,-65,54
NS_Left_PPC,-23,-64,59
